,materia_aprobada,nota_final_materia,periodo,integrador,primer_parcial,recuperatorio_primer_parcial,recuperatorio_segundo_parcial,segundo_parcial,evaluacion_diagnostica,api1,api1_score,api1_time_to_submit[days],api2,api2_score,api2_time_to_submit[days],api3,api3_score,api3_time_to_submit[days],api4,api4_score,api4_time_to_submit[days],ed3,ed3_score,ed3_time_to_submit[days],ed4,ed4_score,ed4_time_to_submit[days],otros_trabajos,otros_trabajos_score,tp1,tp1_score,tp1_time_to_submit[days],tp2,tp2_score,tp2_time_to_submit[days],tp3,tp3_score,tp3_time_to_submit[days],tp4,tp4_score,tp4_time_to_submit[days],basic_lti_launch_submits,discussion_topic_submits,external_tool_submits,media_recording_submits,online_quiz_submits,online_text_entry_submits,online_upload_submits
305f3843-3f84-4af1-b883-49ee5f23cfee/425fed5f-a617-42b9-b5e8-58051f802c33,1,5.0,1-2022,-1,5,6,-1,10,-1,1,100.0,41.8,1,100.0,63.8,1,100.0,84.6,1,100.0,108.1,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,100.0,64.1,1,71.25,126.9,1,71.67,126.8,1,51.67,126.9,0,0,4,0,4,0,0
305f3843-3f84-4af1-b883-49ee5f23cfee/4eabf165-3564-4753-9020-ae5077497513,1,9.0,1-2022,-1,9,-1,-1,8,-1,1,100.0,41.8,1,100.0,63.8,1,100.0,87.0,1,100.0,108.1,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,76.67,67.7,-1,0.0,-1.0,1,80.0,126.0,1,91.67,126.0,0,0,4,0,3,0,0
305f3843-3f84-4af1-b883-49ee5f23cfee/5ad23ebe-b830-4fe7-a58a-5569f2511d2b,1,5.0,1-2022,-1,6,6,-1,9,-1,1,100.0,0.0,1,100.0,0.0,1,93.5,0.0,1,100.0,0.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,-1,0.0,-1.0,1,70.0,0.0,1,90.0,0.0,1,100.0,0.0,7,0,0,0,0,0,0
305f3843-3f84-4af1-b883-49ee5f23cfee/8e4fc595-5954-4276-b921-7426d87c4eef,1,7.0,1-2022,7,6,-1,-1,6,-1,1,100.0,41.8,1,100.0,63.8,1,91.3,84.6,1,100.0,108.1,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,100.0,66.7,1,93.75,66.8,-1,0.0,-1.0,1,73.75,126.9,0,0,4,0,3,0,0
30c0cb1f-0620-4606-a243-692c2399d033/41fc218f-a64e-4633-9efd-62ad28943f04,1,8.0,1-2022,-1,8,-1,-1,7,-1,1,83.3,33.0,1,75.0,37.1,1,92.3,55.9,1,100.0,69.9,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,72.5,33.1,1,87.5,37.1,1,70.0,63.1,1,94.17,70.0,0,0,4,0,4,0,0
30c0cb1f-0620-4606-a243-692c2399d033/61819379-999e-4447-8a98-ccf8a7828a38,1,8.0,1-2022,-1,7,-1,-1,8,-1,1,90.0,44.0,1,85.2,44.2,0,0.0,0.0,1,100.0,77.3,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,76.67,44.2,1,80.0,44.2,1,87.5,77.3,4,61.67,89.1,0,0,3,0,7,0,0
30c0cb1f-0620-4606-a243-692c2399d033/74991917-6eec-427c-8ced-54fd28363178,1,8.0,1-2022,-1,7,-1,-1,8,-1,1,75.0,13.3,1,93.8,41.0,0,0.0,0.0,1,100.0,48.9,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,78.33,38.9,1,76.25,41.0,1,74.17,73.3,1,95.0,74.0,0,0,3,0,4,0,0
30c0cb1f-0620-4606-a243-692c2399d033/ac0e193f-48c6-429a-979a-1e4d7bf9565b,1,8.0,1-2022,-1,9,-1,-1,7,-1,1,70.6,34.1,1,100.0,41.1,0,0.0,0.0,1,100.0,77.2,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,76.67,34.1,1,76.67,41.1,1,75.83,77.2,1,83.75,81.4,0,0,3,0,4,0,0
311a05f9-6e16-4746-bc27-c41e0cf8a3a0/06dd5f32-293c-442e-b602-08107eb61ea8,1,8.0,1-2022,-1,7,-1,-1,9,-1,1,100.0,40.3,1,100.0,55.6,1,100.0,70.4,1,90.0,70.4,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,90.0,53.2,1,80.0,62.3,0,0.0,0.0,1,85.0,82.5,0,0,4,0,0,0,3
311a05f9-6e16-4746-bc27-c41e0cf8a3a0/6add6ede-fc78-47b8-a880-3b623f58cf63,1,9.0,1-2022,-1,10,-1,-1,8,-1,1,100.0,33.0,1,100.0,45.0,1,100.0,86.8,1,100.0,86.8,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,0,0.0,0.0,1,80.0,62.0,0,0.0,0.0,1,90.0,121.4,0,0,4,0,0,0,2
311a05f9-6e16-4746-bc27-c41e0cf8a3a0/9fb5bf9b-b5e3-40ef-b69e-8681fa52cb8d,1,10.0,1-2022,-1,10,-1,-1,10,-1,1,66.7,33.0,1,100.0,45.0,1,100.0,79.9,1,100.0,82.1,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,0,0.0,0.0,1,55.0,64.3,0,0.0,0.0,1,65.0,129.3,0,0,4,0,0,0,2
311a05f9-6e16-4746-bc27-c41e0cf8a3a0/af630619-d048-463a-a62c-5764f36ae1d3,1,8.0,1-2022,-1,8,-1,-1,8,50,1,100.0,33.0,1,100.0,45.0,1,100.0,77.0,1,100.0,77.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,90.0,49.3,1,80.0,71.1,0,0.0,0.0,1,100.0,128.4,0,0,4,0,1,0,3
311a05f9-6e16-4746-bc27-c41e0cf8a3a0/e14f5a9d-992e-4d5f-b9e2-a0c723b4219b,1,8.0,1-2022,-1,8,-1,-1,8,-1,1,100.0,41.0,1,100.0,56.3,1,100.0,71.1,1,100.0,71.1,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,100.0,54.0,0,0.0,0.0,0,0.0,0.0,1,70.0,82.2,0,0,4,0,0,0,2
311a05f9-6e16-4746-bc27-c41e0cf8a3a0/e873a748-c047-4460-9427-f0e33007ee4c,1,8.0,1-2022,-1,7,-1,-1,9,-1,1,100.0,39.0,1,100.0,52.6,1,100.0,69.1,1,100.0,69.1,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,85.0,51.8,1,70.0,57.9,1,76.0,61.0,1,88.0,79.2,0,0,4,0,0,0,4
311a1211-206c-4735-92ae-cbac4416db84/4ffb4e16-9a79-41c5-8d5d-360384767fc3,1,10.0,1-2022,-1,9,-1,-1,10,-1,1,100.0,34.5,1,100.0,51.5,1,100.0,64.4,1,100.0,64.4,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,-1.0,0,0,0,0,0,0,4
311a1211-206c-4735-92ae-cbac4416db84/93db358f-56a9-4b84-adad-131142612684,1,8.0,1-2022,-1,8,-1,-1,8,-1,1,80.0,32.8,1,75.0,32.8,1,100.0,45.9,1,100.0,45.9,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,95.0,35.1,1,45.0,35.1,-1,0.0,-1.0,-1,0.0,-1.0,6,0,0,0,0,0,0
311a1211-206c-4735-92ae-cbac4416db84/b0218c3a-298d-4624-9ffe-b7f4e0baa9cd,1,9.0,1-2022,-1,9,-1,-1,8,-1,1,87.5,45.1,1,100.0,45.1,1,100.0,53.5,1,86.67,53.5,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4,0,0,0,0
312ae65b-7a6b-4a36-9936-b3c4882d3389/2b274b15-83bb-4629-941e-fdc573af4e0b,1,6.0,1-2022,6,5,-1,-1,4,-1,1,80.0,12.2,1,83.3,16.5,1,100.0,29.2,1,100.0,31.5,-1,0.0,-1.0,-1,0.0,-1.0,3,70.14,1,60.0,60.6,1,69.17,57.5,1,70.83,53.4,1,71.67,53.6,0,0,7,0,4,0,0
32432277-d6aa-4af8-b97f-25e6206b6981/41fc218f-a64e-4633-9efd-62ad28943f04,1,6.0,1-2022,-1,6,-1,-1,6,-1,1,75.0,45.2,1,100.0,52.1,1,100.0,66.1,1,100.0,78.9,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,70.83,56.2,1,67.08,56.2,1,75.0,72.1,1,90.0,80.1,0,0,4,0,4,0,0
32432277-d6aa-4af8-b97f-25e6206b6981/74991917-6eec-427c-8ced-54fd28363178,1,8.0,1-2022,-1,7,-1,-1,8,-1,2,81.3,19.4,2,100.0,51.4,1,87.5,65.4,2,100.0,53.1,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,63.33,77.6,1,83.33,72.4,1,73.33,74.4,1,77.5,86.2,0,0,7,0,4,0,0
32956eb1-bf56-4606-9449-6c31427dd794/6add6ede-fc78-47b8-a880-3b623f58cf63,1,8.0,1-2022,-1,8,-1,-1,8,-1,1,100.0,34.3,1,100.0,34.3,1,100.0,34.3,1,100.0,34.3,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,80.0,53.3,1,90.0,81.3,0,0.0,0.0,1,80.0,130.3,0,0,4,0,0,0,3
32956eb1-bf56-4606-9449-6c31427dd794/70702c6e-4a91-47f8-85b9-9ed7c888fe87,1,5.0,1-2022,5,4,-1,-1,6,-1,1,85.7,36.5,1,100.0,60.4,1,66.7,60.4,0,0.0,0.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,90.0,81.5,0,0,3,0,0,0,1
32956eb1-bf56-4606-9449-6c31427dd794/9fb5bf9b-b5e3-40ef-b69e-8681fa52cb8d,1,6.0,1-2022,-1,6,-1,-1,5,-1,1,100.0,34.8,1,84.6,45.1,1,91.7,51.0,1,94.4,51.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,0,0.0,0.0,1,55.0,81.3,0,0.0,0.0,1,75.0,130.3,0,0,4,0,0,0,2
32956eb1-bf56-4606-9449-6c31427dd794/c15fb5d7-88cb-40be-9ce1-b8236193d46b,1,8.0,1-2022,-1,8,-1,-1,7,-1,1,100.0,9.3,1,100.0,9.3,1,100.0,10.3,1,81.8,14.3,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,93.0,16.2,1,90.0,21.1,1,90.0,28.2,0,0.0,0.0,0,0,4,0,0,0,3
32956eb1-bf56-4606-9449-6c31427dd794/dbc3d0fb-7070-4a93-96b3-a380d8d7da57,1,8.0,1-2022,-1,9,-1,-1,6,-1,1,100.0,34.8,1,100.0,35.2,1,100.0,35.3,1,100.0,35.3,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,100.0,46.2,1,100.0,81.3,1,100.0,100.0,1,100.0,129.9,0,0,4,0,0,0,4
32956eb1-bf56-4606-9449-6c31427dd794/e14f5a9d-992e-4d5f-b9e2-a0c723b4219b,1,7.0,1-2022,-1,8,-1,-1,5,-1,1,100.0,37.2,1,100.0,37.2,1,100.0,46.0,0,0.0,0.0,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,70.0,55.3,0,0.0,0.0,1,100.0,68.3,0,0.0,0.0,0,0,3,0,0,0,2
32956eb1-bf56-4606-9449-6c31427dd794/e873a748-c047-4460-9427-f0e33007ee4c,1,8.0,1-2022,-1,9,-1,-1,6,-1,1,100.0,35.2,1,100.0,44.2,1,100.0,44.2,1,100.0,44.2,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,85.0,53.3,0,0.0,0.0,0,0.0,0.0,1,85.0,80.2,0,0,4,0,0,0,2
32956eb1-bf56-4606-9449-6c31427dd794/fa72c29b-bbfb-4953-b023-5321f95ae41b,1,7.0,1-2022,-1,8,-1,-1,6,-1,1,100.0,37.3,1,100.0,37.3,1,100.0,37.3,1,100.0,37.3,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,65.0,55.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4,0,0,0,1
3369ae37-7a6d-48cc-92f6-cc36a5e7b915/0fcfe9e7-84eb-43f5-81b2-be4a41d5eb5e,1,10.0,1-2022,-1,10,-1,-1,9,-1,1,87.5,0.0,1,90.0,0.0,1,88.9,0.0,1,88.2,0.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,68.33,0.0,1,90.0,0.0,1,85.0,0.0,1,85.0,0.0,4,0,4,0,0,0,0
3369ae37-7a6d-48cc-92f6-cc36a5e7b915/119495b0-07dc-45b4-a3c1-706ed67e1d8e,1,10.0,1-2022,-1,10,-1,-1,10,56,1,100.0,31.8,1,100.0,60.6,1,80.0,81.0,1,100.0,81.6,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,90.0,32.0,1,85.0,81.1,1,83.33,81.1,4,63.0,130.1,0,0,4,0,8,0,0
3369ae37-7a6d-48cc-92f6-cc36a5e7b915/8dea7c9c-1e9a-4391-8bd4-d5e6cb33c362,1,9.0,1-2022,-1,8,-1,-1,9,-1,1,100.0,39.2,1,100.0,61.7,1,70.0,85.2,1,95.0,101.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,81.67,71.6,1,90.0,71.6,1,82.5,93.9,1,88.33,101.0,0,0,0,0,4,0,4
3369ae37-7a6d-48cc-92f6-cc36a5e7b915/c657d35b-df14-4831-9632-3749a9dcbf69,1,6.0,1-2022,-1,8,-1,-1,9,54,1,80.8,36.9,1,78.3,58.4,1,72.7,85.2,1,100.0,106.8,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,90.0,39.2,1,81.25,70.1,1,88.33,109.1,1,85.0,110.1,0,0,4,0,5,0,0
3369ae37-7a6d-48cc-92f6-cc36a5e7b915/dc1dbf18-048c-429a-ac32-a421110f85cb,1,10.0,1-2022,-1,9,-1,-1,10,-1,1,92.3,36.8,1,100.0,64.3,1,80.0,83.1,1,100.0,106.8,-1,0.0,-1.0,-1,0.0,-1.0,1,100.0,1,65.0,36.8,1,65.0,60.0,1,85.0,83.1,1,85.0,106.3,0,0,4,0,5,0,0
3369ae37-7a6d-48cc-92f6-cc36a5e7b915/eaf6caca-a002-450d-8e62-70bd6bd033f1,1,9.0,1-2022,-1,9,-1,-1,9,-1,1,100.0,0.0,1,100.0,0.0,1,100.0,0.0,1,100.0,0.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,95.0,0.0,1,78.33,0.0,1,60.0,0.0,1,75.0,0.0,0,0,4,0,4,0,0
336c1d3d-76ad-486e-b9b8-47ce35c5e911/127ca5c2-1366-4695-9cfd-2979fe6e3dec,1,10.0,1-2022,-1,10,-1,-1,10,-1,1,90.0,40.3,0,0.0,0.0,1,100.0,74.2,1,100.0,88.6,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,4,81.67,89.5,4,65.0,89.6,4,85.0,89.6,0,0.0,0.0,0,0,3,0,12,0,0
336c1d3d-76ad-486e-b9b8-47ce35c5e911/16225be1-bd06-458f-b563-4c44b679395e,1,9.0,1-2022,-1,7,-1,-1,10,-1,1,100.0,43.4,0,0.0,0.0,1,100.0,74.2,1,100.0,88.6,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,4,70.0,89.1,4,70.0,89.2,4,80.0,89.2,4,90.0,89.4,0,0,3,0,16,0,0
336c1d3d-76ad-486e-b9b8-47ce35c5e911/33714869-1aca-4a6d-aee8-5a0cd529a2cc,1,6.0,1-2022,-1,7,-1,-1,5,-1,1,91.7,45.1,0,0.0,0.0,1,100.0,54.1,1,90.0,78.9,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,76.67,79.8,1,73.33,79.8,1,61.67,80.1,1,75.0,80.1,0,0,3,0,4,0,0
336c1d3d-76ad-486e-b9b8-47ce35c5e911/8ae90002-6c51-4992-8f8f-dac8d37a8a25,1,6.0,1-2022,-1,6,-1,-1,5,-1,1,100.0,45.1,0,0.0,0.0,1,100.0,54.0,1,90.0,78.8,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,70.0,79.7,1,80.0,79.7,1,90.0,79.8,1,61.25,80.1,0,0,3,0,4,0,0
336c1d3d-76ad-486e-b9b8-47ce35c5e911/9b474138-6d32-44d1-a65c-7076c98b7ed6,1,10.0,1-2022,-1,10,-1,-1,9,-1,1,100.0,44.4,0,0.0,0.0,1,100.0,74.2,1,100.0,88.6,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,4,85.0,89.4,4,70.0,89.4,4,80.0,89.5,0,0.0,0.0,0,0,3,0,12,0,0
336c1d3d-76ad-486e-b9b8-47ce35c5e911/f5760892-8090-442e-a70a-c27beec1cae8,1,6.0,1-2022,-1,7,-1,-1,5,-1,1,100.0,44.4,0,0.0,0.0,1,100.0,53.3,1,100.0,78.2,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,82.5,78.2,1,85.0,78.2,1,90.0,78.2,1,100.0,78.2,0,0,3,0,4,0,0
347be0de-8c4b-461b-8357-bf7a48fbdb7c/c78af3b4-4574-4a82-8c41-45195ce43384,1,10.0,1-2022,-1,6,9,-1,10,-1,0,0.0,0.0,1,50.05,48.3,1,54.15,50.4,1,100.0,79.1,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,0,0.0,0.0,1,67.5,51.0,1,87.5,82.5,1,82.5,83.5,0,0,3,0,3,0,0
34896dfc-2014-453b-bbcf-1245e1aa8c58/2b274b15-83bb-4629-941e-fdc573af4e0b,1,7.0,1-2022,-1,7,-1,-1,7,-1,1,100.0,7.9,1,100.0,16.1,1,100.0,31.1,1,100.0,31.9,-1,0.0,-1.0,-1,0.0,-1.0,2,79.66,1,90.0,15.3,1,85.0,17.9,1,70.83,40.9,1,95.0,43.9,0,0,6,0,4,0,0
34896dfc-2014-453b-bbcf-1245e1aa8c58/3735b857-c655-4726-a095-064c777ec217,1,6.0,1-2022,-1,6,-1,-1,5,-1,1,100.0,26.6,1,100.0,32.9,1,100.0,48.7,1,100.0,52.9,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,75.0,32.9,1,70.0,44.9,1,67.5,52.9,1,46.67,52.9,0,0,4,0,4,0,0
34896dfc-2014-453b-bbcf-1245e1aa8c58/41fc218f-a64e-4633-9efd-62ad28943f04,1,7.0,1-2022,-1,7,-1,-1,6,-1,1,100.0,26.6,1,100.0,39.9,1,100.0,56.6,1,100.0,56.6,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,85.0,39.9,1,90.0,43.0,1,72.5,67.6,1,75.0,67.7,0,0,4,0,4,0,0
34896dfc-2014-453b-bbcf-1245e1aa8c58/c78af3b4-4574-4a82-8c41-45195ce43384,1,8.0,1-2022,-1,8,-1,-1,7,-1,1,100.0,33.2,1,100.0,34.0,1,100.0,62.3,1,80.0,62.3,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,80.0,41.3,1,85.0,55.0,1,80.0,69.0,1,75.0,69.0,0,0,4,0,4,0,0
34896dfc-2014-453b-bbcf-1245e1aa8c58/d6c3b308-12c6-42e4-b544-4b0db85904e1,1,6.0,1-2022,-1,5,-1,-1,7,-1,1,100.0,33.9,1,100.0,34.8,1,100.0,62.8,1,100.0,62.8,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,72.5,42.0,1,47.5,55.7,1,50.0,72.7,1,70.0,72.8,0,0,4,0,4,0,0
34896dfc-2014-453b-bbcf-1245e1aa8c58/e478f666-1e63-4b87-ac9f-efc2dcf90b5d,1,6.0,1-2022,-1,5,-1,-1,6,-1,1,100.0,34.2,1,100.0,34.2,1,83.3,62.3,1,100.0,72.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,70.0,49.2,1,72.5,55.0,1,75.0,79.0,1,48.33,79.1,0,0,4,0,4,0,0
356be8ce-eb8a-4099-8a77-82f4dcb55e8d/127ca5c2-1366-4695-9cfd-2979fe6e3dec,1,10.0,1-2022,-1,9,-1,-1,10,-1,1,100.0,34.2,1,90.0,34.2,1,90.5,34.2,1,100.0,34.2,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,80.0,35.3,1,66.67,35.3,1,75.0,35.6,1,80.0,35.6,0,0,4,0,4,0,0
356be8ce-eb8a-4099-8a77-82f4dcb55e8d/16225be1-bd06-458f-b563-4c44b679395e,1,8.0,1-2022,-1,4,8,-1,7,-1,1,100.0,34.2,1,100.0,34.2,1,100.0,34.2,1,84.6,34.2,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,80.0,45.6,1,90.0,45.6,1,65.0,76.5,1,60.0,54.4,0,0,4,0,4,0,0
356be8ce-eb8a-4099-8a77-82f4dcb55e8d/511e3cc1-6403-419d-8df2-8b3437254ba8,1,8.0,1-2022,-1,6,-1,-1,9,-1,1,94.7,34.9,1,100.0,34.9,1,100.0,34.9,1,82.6,34.9,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,73.33,35.8,1,81.67,35.9,1,65.0,36.0,1,73.75,36.0,0,0,4,0,4,0,0
356be8ce-eb8a-4099-8a77-82f4dcb55e8d/6e241b74-3631-4239-9ac4-3e35896c76b9,1,7.0,1-2022,-1,5,-1,-1,8,-1,1,71.4,27.0,1,100.0,27.0,1,83.3,50.2,1,100.0,50.2,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,70.0,27.1,1,50.0,27.9,1,70.0,52.0,1,60.0,77.8,0,0,4,0,4,0,0
356be8ce-eb8a-4099-8a77-82f4dcb55e8d/b154ef16-61fd-47a7-b51d-7e4b42db84d1,1,8.0,1-2022,-1,8,-1,-1,8,-1,1,78.9,26.3,1,100.0,26.3,1,85.7,49.3,1,100.0,49.3,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,71.67,26.3,1,90.0,26.3,1,80.0,49.4,1,75.0,49.4,0,0,4,0,4,0,0
356be8ce-eb8a-4099-8a77-82f4dcb55e8d/b93c1009-5190-4a27-9b58-78eb85a32813,1,9.0,1-2022,-1,10,-1,-1,8,-1,1,85.7,27.9,1,100.0,27.9,1,100.0,50.0,1,66.7,50.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,80.0,27.9,1,70.0,27.9,1,77.5,50.1,1,40.42,50.1,0,0,4,0,4,0,0
35bf6215-6f70-43f2-afd8-e668e5735347/4bf127c3-d868-40e7-ab0d-11814eb5bb3d,1,9.0,1-2022,-1,10,-1,-1,8,-1,1,100.0,34.8,1,100.0,45.8,0,0.0,0.0,0,0.0,0.0,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,-1,0.0,-1.0,1,100.0,78.1,0,0.0,0.0,1,85.0,130.2,0,0,2,0,0,0,2
35c88837-fd36-4b4b-828a-8689f4beda02/0034afe6-e996-4c26-b0b9-24dbb9535465,1,10.0,1-2022,-1,10,-1,-1,9,-1,1,100.0,44.0,1,77.8,57.5,1,100.0,68.5,1,96.15,73.3,4,100.0,89.5,4,100.0,89.5,0,0.0,1,85.0,60.2,1,78.75,74.1,4,86.67,0.0,4,83.33,0.0,0,0,4,0,18,0,0
35c88837-fd36-4b4b-828a-8689f4beda02/12bb6bfa-8b01-46a8-8cc2-e0e84785fa1e,1,10.0,1-2022,-1,10,-1,-1,10,-1,1,76.5,37.0,1,100.0,50.1,1,100.0,70.4,1,100.0,72.2,1,95.0,81.2,1,70.0,81.2,0,0.0,1,73.75,72.3,1,74.17,81.2,1,90.0,0.0,1,81.67,0.0,0,0,4,0,6,0,0
35c88837-fd36-4b4b-828a-8689f4beda02/2b274b15-83bb-4629-941e-fdc573af4e0b,1,9.0,1-2022,-1,9,-1,-1,9,-1,1,90.0,2.4,1,91.7,9.9,1,100.0,17.4,1,100.0,31.5,-1,0.0,-1.0,-1,0.0,-1.0,5,84.24,1,71.67,9.9,1,78.33,10.1,1,78.33,17.4,1,77.5,37.9,0,0,7,0,5,0,1
35c88837-fd36-4b4b-828a-8689f4beda02/68005d22-90dc-42f6-b90a-409714481cbc,1,9.0,1-2022,-1,7,-1,-1,10,-1,1,90.9,41.1,1,77.8,41.1,1,71.4,68.9,1,100.0,83.4,1,53.33,68.9,1,70.0,84.4,0,0.0,1,75.0,32.8,1,75.0,45.1,1,80.0,0.0,1,70.0,0.0,0,0,4,0,6,0,0
35c88837-fd36-4b4b-828a-8689f4beda02/c78af3b4-4574-4a82-8c41-45195ce43384,1,8.0,1-2022,-1,-1,7,-1,8,-1,1,75.0,44.0,1,100.0,57.5,1,100.0,74.1,1,90.0,88.5,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,81.25,57.5,1,79.17,88.5,1,90.0,88.5,4,92.5,89.5,0,0,4,0,7,0,0
35c88837-fd36-4b4b-828a-8689f4beda02/f3632565-3ab8-4b7f-9ced-097ce82eb1c5,1,9.0,1-2022,-1,9,-1,9,-1,50,1,100.0,34.0,1,100.0,52.3,1,100.0,90.8,1,100.0,104.8,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,100.0,50.3,1,100.0,81.1,1,85.0,102.0,1,85.0,129.8,0,0,4,0,1,0,4
367aa55b-44fd-4aad-9ec5-70ac8c522abe/0034afe6-e996-4c26-b0b9-24dbb9535465,1,8.0,1-2022,-1,8,-1,-1,7,-1,1,81.0,46.2,1,100.0,58.6,1,75.0,74.1,1,96.15,88.4,1,30.0,88.6,1,20.0,88.6,0,0.0,1,76.67,88.5,1,73.75,88.6,1,70.0,0.0,1,83.33,0.0,0,0,4,0,6,0,0
367aa55b-44fd-4aad-9ec5-70ac8c522abe/12bb6bfa-8b01-46a8-8cc2-e0e84785fa1e,1,6.0,1-2022,-1,7,-1,5,-1,-1,1,100.0,46.2,1,95.0,58.6,1,78.6,74.1,2,100.0,88.4,4,25.0,89.5,4,20.0,89.5,2,0.0,4,88.75,89.5,4,86.25,89.5,4,70.0,0.0,4,85.0,0.0,0,2,5,0,24,0,0
367aa55b-44fd-4aad-9ec5-70ac8c522abe/2b274b15-83bb-4629-941e-fdc573af4e0b,1,9.0,1-2022,-1,9,-1,-1,9,-1,1,100.0,15.4,1,87.5,15.5,1,100.0,36.4,1,100.0,53.0,-1,0.0,-1.0,-1,0.0,-1.0,3,92.87,1,80.0,9.5,1,85.0,17.1,1,70.0,36.5,1,92.5,53.0,0,0,7,0,4,0,0
367aa55b-44fd-4aad-9ec5-70ac8c522abe/68005d22-90dc-42f6-b90a-409714481cbc,1,6.0,1-2022,-1,6,-1,-1,6,-1,1,81.8,48.2,1,100.0,48.2,1,100.0,72.2,1,100.0,84.0,1,90.0,83.9,1,100.0,84.0,0,0.0,1,70.0,40.4,1,95.0,41.4,1,70.0,0.0,1,100.0,0.0,0,0,4,0,6,0,0
367aa55b-44fd-4aad-9ec5-70ac8c522abe/c78af3b4-4574-4a82-8c41-45195ce43384,1,5.0,1-2022,-1,5,-1,-1,5,-1,1,100.0,46.2,1,78.15,58.6,1,100.0,74.1,1,90.0,88.5,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,90.0,83.6,1,100.0,83.6,1,75.0,83.7,1,90.0,83.7,0,0,4,0,4,0,0
367aa55b-44fd-4aad-9ec5-70ac8c522abe/f3632565-3ab8-4b7f-9ced-097ce82eb1c5,1,7.0,1-2022,-1,7,-1,-1,6,-1,1,100.0,41.1,1,100.0,41.1,1,100.0,94.2,1,100.0,113.3,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,0,0.0,0.0,1,90.0,81.3,0,0.0,0.0,1,90.0,130.3,0,0,4,0,0,0,2
